state,margin_2016
Alabama,-27.7
Alaska,-14.7
Arizona,-3.5
Arkansas,-26.9
California,30
Colorado,4.9
Connecticut,13.7
Delaware,11.4
District of Columbia,86.8
Florida,-1.2
Georgia,-5.1
Hawaii,32.2
Idaho,-31.7
Illinois,16.8
Indiana,-19
Iowa,-9.4
Kansas,-20.5
Kentucky,-29.8
Louisiana,-19.7
Maine,2.9
Maryland,26.4
Massachusetts,27.2
Michigan,-0.3
Minnesota,1.5
Mississippi,-17.8
Missouri,-18.5
Montana,-20.2
Nebraska,-25
Nevada,2.4
New Hampshire,0.3
New Jersey,14
New Mexico,8.3
New York,22.5
North Carolina,-3.6
North Dakota,-35.8
Ohio,-8.1
Oklahoma,-36.4
Oregon,11
Pennsylvania,-0.7
Rhode Island,15.5
South Carolina,-14.2
South Dakota,-29.8
Tennessee,-26
Texas,-9
Utah,-17.9
Vermont,26.4
Virginia,5.4
Washington,15.7
West Virginia,-41.7
Wisconsin,-0.7
Wyoming,-46.3