state,state_abb,cp_2019,gov_party,gdp,co2_emissions,total_energy,nuclear,perc_renew,renew,perc_ff,ff,pop,perc_white,perc_black,perc_latino,perc_asian,cp,gwvoteimp,human,humanOppose,margin_2016
Alabama,AL,0,R,228142.6,113.54,2378.6,412.6,13,298.4,70,1667.6,4767100,65,27,4,1,0,48.467,50.909,37.789,-27.7
Alaska,AK,0,R,54385.6,36.06,609.8,0,4,25,96,584.8,701700,60,2,7.000000000000001,6,0,56.101,53.769,35.449,-14.7
Arizona,AZ,0,R,370119.1,91.24,1775.2,325.1,10,178.5,72,1271.6,7098000,54,4,32,3,0,57.574,56.019,33.452,-3.5
Arkansas,AR,0,R,130954.1,72.02,1257.8,133,10,123.8,80,1001,2922500,72,15,8,2,0,48.951,52.163,36.722,-26.9
California,CA,16.84,D,3132800.6,376.06,7098.4,190.4,16,1154.5,81,5753.5,38642700,36,5,40,15,1,61.585,63.753,26.735,30
Colorado,CO,0,D,392986,90.4,1469.7,0,11,164.6,89,1305.1,5611800,68,4,22,3,0,57.967,57.223,32.157,4.9
Connecticut,CT,5.43,D,287822.2,38.19,829.6,176.5,6,50.4,73,602.7,3453300,66,10,17,5,1,55.997,61.104,29.041,13.7
Delaware,DE,5.43,D,77082.4,13.68,221.1,0,4,8,96,213.1,940300,61,22,10,4,1,58.566,55.428,33.427,11.4
District of Columbia,DC,0,D,143389.3,3.11,54.4,0,5,2.7,95,51.7,671300,37,45,11,4,0,72.575,64.745,26.958,86.8
Florida,FL,0,R,1106500.1,232.76,4150.9,306.5,8,317.5,85,3526.9,20992000,53,15,27,3,0,57.514,56.319,33.448,-1.2
Georgia,GA,0,R,625713.6,134.96,2637.5,359.3,11,302.4,75,1975.8,10294000,52,31,10,4,0,57.249,53.719,35.336,-5.1
Hawaii,HI,0,D,95744.3,19.52,292.9,0,11,31.1,89,261.8,1343000,20,1,10,39,0,63.094,65.908,24.919,32.2
Idaho,ID,0,R,83665.5,19.5,478.3,0,37,178.9,63,299.4,1750900,82,1,13,1,0,52.68,51.959,37.202,-31.7
Illinois,IL,0,D,885583,215.37,4371,1025.7,7.000000000000001,284.7,70,3060.6,12362300,61,14.000000000000002,18,6,0,56.861,59.803,30.417,16.8
Indiana,IN,0,R,379684.1,192.43,2803.1,0,7.000000000000001,185.9,93,2617.2,6511800,79,9,7.000000000000001,2,0,49.572,50.615,37.685,-19
Iowa,IA,0,R,194658.1,84.95,1685.1,51.2,27,463.4,69,1170.5,3060200,85,4,6,2,0,47.803,54.066,34.716,-9.4
Kansas,KS,0,D,176493.1,63.38,1210.8,95.9,18,220.3,74,894.6,2811200,76,6,12,3,0,51.125,51.952,36.895,-20.5
Kentucky,KY,0,D,215398.9,123.45,1718.6,0,6,102.1,94,1616.5,4319300,85,8,4,2,0,49.332,48.856,38.772,-29.8
Louisiana,LA,0,D,256918.5,258.18,4229.8,179.3,4,155,92,3895.5,4498600,59,32,5,2,0,52.601,51.228,36.739,-19.7
Maine,ME,5.43,D,67717.1,15.29,384.5,0,42,160.4,57.99999999999999,224.1,1302300,93,1,2,1,1,56.717,53.653,35.654,2.9
Maryland,MD,5.43,R,426747.4,60.5,1132.8,156.7,8,90.4,78,885.7,5875500,50,30,11,6,1,59.055,63.309,27.653,26.4
Massachusetts,MA,5.43,R,596593.1,64.65,1165.8,46.4,9,105.2,87,1014.2,6650800,71,7.000000000000001,12,7.000000000000001,1,60.966,62.8,28.191,27.2
Michigan,MI,0,D,536888.3,164.23,2963.4,318.7,8,250.4,81,2394.3,9765600,75,13,5,3,0,52.519,56.986,32.595,-0.3
Minnesota,MN,0,D,383777,94.48,1813.5,152.7,17,302.2,75,1358.6,5514800,79,6,6,5,0,52.677,56.152,33.553,1.5
Mississippi,MS,0,R,115971.3,70.74,1265.7,72.3,6,76.8,88,1116.6,2867100,57,38,3,1,0,49.998,52.459,35.67,-17.8
Missouri,MO,0,R,328400.6,123.83,1828.6,111.4,6,108.5,88,1608.7,5939900,79,11,4,2,0,51.176,52.996,35.877,-18.5
Montana,MT,0,R,52934.6,31.85,562.9,0,26,147.1,74,415.8,1039400,86,1,4,1,0,49.411,51.271,37.315,-20.2
Nebraska,NE,0,R,130011.8,52.88,955.2,58.9,20,193.5,74,702.8,1873600,79,5,11,2,0,48.23,51.585,37.219,-25
Nevada,NV,0,D,178199.4,38.52,722.9,0,16,117.3,84,605.6,3029700,48,9,28.999999999999996,9,0,57.121,56.976,32.46,2.4
New Hampshire,NH,5.43,R,87634.1,14.55,381.7,105.2,16,62.1,56.00000000000001,214.4,1314000,90,1,4,3,1,52.256,57.003,32.731,0.3
New Jersey,NJ,0,D,634783.6,110.94,2172.7,334.4,4,86.9,81,1751.4,8699400,55,12,21,10,0,59.465,63.169,28.893,14
New Mexico,NM,0,D,105143.4,46.61,772.6,0,12,95.2,88,677.4,2041400,37,2,50,2,0,56.882,57.839,31.141,8.3
New York,NY,5.43,D,1772260.7,172.21,3678.3,448.7,13,490.3,74,2739.3,18908300,55,14.000000000000002,19,9,1,65.289,62.696,28.901,22.5
North Carolina,NC,0,D,591600.9,122.16,2475.9,439.9,11,273.2,71,1762.8,10139700,63,21,10,3,0,54.099,55.761,32.967,-3.6
North Dakota,ND,0,R,57180.9,54.97,888.1,0,18,160.5,82,727.6,731000,84,2,4,1,0,45.119,45.044,42.614,-35.8
Ohio,OH,0,R,695361.6,211.47,3390.3,191.5,5,158.6,90,3040.2,11351500,79,12,4,2,0,51.115,54.309,34.944,-8.1
Oklahoma,OK,0,R,202036.1,99.6,1862.4,0,17,317.9,83,1544.5,3826900,65,7.000000000000001,11,2,0,50.525,50.126,38.434,-36.4
Oregon,OR,0,D,253623.2,40.41,1117.9,0,44,496.8,56.00000000000001,621.1,4128900,75,2,13,5,0,61.125,57.451,32.388,11
Pennsylvania,PA,0,D,808737.5,227.04,4484.3,872.7,6,251.2,75,3360.4,12377600,76,10,8,4,0,54.386,56.606,33.234,-0.7
Rhode Island,RI,5.43,D,61883.8,11.68,199.2,0,5,10,95,189.2,1017100,71,6,17,3,1,56.456,59.37,30.652,15.5
South Carolina,SC,0,R,247543.8,75.24,1786.1,551.2,9,163.5,60,1071.4,4984200,64,26,6,2,0,53.065,52.368,35.784,-14.2
South Dakota,SD,0,R,54940.9,15.93,387.1,0,39,149.5,61,237.6,851300,82,2,4,1,0,48.504,51.662,37.135,-29.8
Tennessee,TN,0,R,376582.4,96.9,1959,378.2,11,206,70,1374.8,6640900,74,16,6,2,0,51.577,51.962,36.141,-26
Texas,TX,0,R,1843802.7,823.33,14191.8,430.6,7.000000000000001,1009,90,12752.2,28286200,41,12,40,5,0,57.318,56.093,33.651,-9
Utah,UT,0,R,192519.2,60.5,891.3,0,7.000000000000001,61.3,93,830,3154100,78,1,14.000000000000002,2,0,52.891,51.367,37.597,-17.9
Vermont,VT,5.43,R,34013.4,6.21,134.8,0,33,44.2,67,90.6,598100,93,1,2,2,1,56.528,59.488,30.515,26.4
Virginia,VA,0,D,556905.2,105.29,2079.9,305.8,9,181.5,77,1592.6,8185100,61,19,10,7.000000000000001,0,56.118,59.195,30.579,5.4
Washington,WA,0,D,612996.5,82.08,2255.5,101.5,42,956.8,53,1197.2,7423900,68,4,13,9,0,59.55,60.092,29.675,15.7
West Virginia,WV,0,R,78863.9,88.62,1156.9,0,5,53.7,95,1103.2,1739000,93,3,1,1,0,44.444,44.589,42.48,-41.7
Wisconsin,WI,0,D,349416.5,102.94,1775.9,105.9,11,199.6,83,1470.4,5677100,81,6,7.000000000000001,3,0,51.473,55.659,34.183,-0.7
Wyoming,WY,0,R,40420.1,63.86,848.1,0,6,54.9,94,793.2,562700,84,1,10,1,0,44.446,45.262,42.66,-46.3
